donor_id,name,city,reliability_score,past_donations,flagged
D00103,Donor 103,Ahmedabad,0.93,15,False
D00104,Donor 104,Delhi,0.99,18,False
D00105,Donor 105,Hyderabad,0.79,12,False
D00106,Donor 106,Bengaluru,0.83,2,False
D00107,Donor 107,Mumbai,0.79,19,False
D00108,Donor 108,Pune,0.97,10,False
D00109,Donor 109,Bengaluru,0.78,11,False
D00110,Donor 110,Pune,0.98,7,False
D00111,Donor 111,Bengaluru,0.53,17,False
D00112,Donor 112,Chennai,0.95,7,True
D00113,Donor 113,Mumbai,0.93,2,False
D00114,Donor 114,Ahmedabad,0.51,15,False
D00115,Donor 115,Pune,0.93,16,False
D00116,Donor 116,Bengaluru,0.73,3,False
D00117,Donor 117,Pune,0.5,2,False
D00118,Donor 118,Bengaluru,0.9,17,False
D00119,Donor 119,Lucknow,0.64,9,False
D00120,Donor 120,Ahmedabad,0.72,0,False
D00121,Donor 121,Pune,0.57,14,False
D00122,Donor 122,Ahmedabad,0.56,16,False
D00123,Donor 123,Jaipur,0.73,10,False
D00124,Donor 124,Mumbai,0.88,1,False
D00125,Donor 125,Pune,0.63,16,False
D00126,Donor 126,Lucknow,0.63,14,False
D00127,Donor 127,Pune,0.59,11,False
D00128,Donor 128,Lucknow,0.68,8,False
D00129,Donor 129,Lucknow,0.64,15,False
D00130,Donor 130,Pune,0.62,16,False
D00131,Donor 131,Chennai,0.67,4,False
D00132,Donor 132,Chennai,0.52,4,False
D00133,Donor 133,Jaipur,0.91,16,False
D00134,Donor 134,Kolkata,0.95,17,False
D00135,Donor 135,Chennai,0.89,8,False
D00136,Donor 136,Delhi,0.6,9,False
D00137,Donor 137,Bengaluru,0.76,13,False
D00138,Donor 138,Jaipur,0.65,16,False
D00139,Donor 139,Chennai,0.73,1,False
D00140,Donor 140,Ahmedabad,0.8,18,False
D00141,Donor 141,Jaipur,0.69,20,False
D00142,Donor 142,Hyderabad,0.66,13,False
D00143,Donor 143,Mumbai,0.51,9,False
D00144,Donor 144,Kolkata,0.93,11,False
D00145,Donor 145,Hyderabad,0.66,4,False
D00146,Donor 146,Hyderabad,0.78,11,False
D00147,Donor 147,Bengaluru,0.57,4,False
D00148,Donor 148,Jaipur,0.74,5,False
D00149,Donor 149,Pune,0.79,6,True
D00150,Donor 150,Bengaluru,0.83,20,False
D00151,Donor 151,Kolkata,0.94,8,False
D00152,Donor 152,Pune,0.78,13,False
D00153,Donor 153,Lucknow,0.75,13,True
D00154,Donor 154,Chennai,0.86,13,False
D00155,Donor 155,Chennai,0.7,18,False
D00156,Donor 156,Lucknow,0.56,13,False
D00157,Donor 157,Lucknow,0.97,19,False
D00158,Donor 158,Kolkata,0.78,2,False
D00159,Donor 159,Jaipur,0.54,11,False
D00160,Donor 160,Delhi,0.97,20,False
D00161,Donor 161,Delhi,0.74,10,False
D00162,Donor 162,Chennai,0.94,16,False
D00163,Donor 163,Delhi,0.51,11,False
D00164,Donor 164,Delhi,0.6,19,False
D00165,Donor 165,Chennai,0.85,16,False
D00166,Donor 166,Delhi,0.6,14,False
D00167,Donor 167,Kolkata,0.93,2,False
D00168,Donor 168,Hyderabad,0.57,12,False
D00169,Donor 169,Bengaluru,0.88,14,False
D00170,Donor 170,Hyderabad,0.7,19,False
D00171,Donor 171,Lucknow,0.9,8,False
D00172,Donor 172,Jaipur,0.68,3,True
D00173,Donor 173,Bengaluru,0.74,2,False
D00174,Donor 174,Mumbai,0.91,8,False
D00175,Donor 175,Kolkata,0.53,1,False
D00176,Donor 176,Lucknow,0.99,10,False
D00177,Donor 177,Kolkata,0.59,16,False
D00178,Donor 178,Jaipur,0.62,16,False
D00179,Donor 179,Kolkata,0.63,15,False
D00180,Donor 180,Hyderabad,0.78,11,False
D00181,Donor 181,Jaipur,0.93,6,False
D00182,Donor 182,Ahmedabad,0.56,11,False
D00183,Donor 183,Ahmedabad,0.67,11,False
D00184,Donor 184,Ahmedabad,0.72,9,False
D00185,Donor 185,Jaipur,0.7,3,False
D00186,Donor 186,Lucknow,0.72,9,False
D00187,Donor 187,Ahmedabad,0.98,11,False
D00188,Donor 188,Bengaluru,0.51,4,False
D00189,Donor 189,Mumbai,0.73,5,True
D00190,Donor 190,Chennai,0.87,13,False
D00191,Donor 191,Bengaluru,0.93,5,False
D00192,Donor 192,Jaipur,0.76,19,False
D00193,Donor 193,Delhi,0.63,14,False
D00194,Donor 194,Bengaluru,0.61,19,False
D00195,Donor 195,Kolkata,1.0,19,False
D00196,Donor 196,Lucknow,0.9,14,False
D00197,Donor 197,Chennai,0.88,5,False
D00198,Donor 198,Lucknow,0.8,20,False
D00199,Donor 199,Ahmedabad,0.75,1,False
D00200,Donor 200,Mumbai,0.7,2,False
D00201,Donor 201,Kolkata,0.61,3,False
D00202,Donor 202,Jaipur,0.66,18,False
D00203,Donor 203,Bengaluru,0.84,16,False
D00204,Donor 204,Bengaluru,0.75,6,False
D00205,Donor 205,Bengaluru,0.5,10,False
D00206,Donor 206,Bengaluru,0.97,20,False
D00207,Donor 207,Bengaluru,0.68,0,False
D00208,Donor 208,Chennai,0.52,7,False
D00209,Donor 209,Bengaluru,0.94,20,False
D00210,Donor 210,Bengaluru,0.55,18,False
D00211,Donor 211,Jaipur,0.7,9,False
D00212,Donor 212,Pune,0.58,16,False
D00213,Donor 213,Hyderabad,0.6,18,False
D00214,Donor 214,Lucknow,0.73,3,False
D00215,Donor 215,Lucknow,0.65,11,False
D00216,Donor 216,Kolkata,0.64,6,False
D00217,Donor 217,Hyderabad,0.74,20,False
D00218,Donor 218,Lucknow,0.8,18,False
D00219,Donor 219,Pune,0.96,18,False
D00220,Donor 220,Hyderabad,0.59,4,False
D00221,Donor 221,Jaipur,0.58,19,False
D00222,Donor 222,Jaipur,0.75,8,False
D00223,Donor 223,Chennai,0.74,12,False
D00224,Donor 224,Pune,0.96,18,False
D00225,Donor 225,Jaipur,0.85,18,False
D00226,Donor 226,Delhi,0.94,15,False
D00227,Donor 227,Bengaluru,0.88,18,False
D00228,Donor 228,Mumbai,0.7,18,False
D00229,Donor 229,Kolkata,0.67,10,False
D00230,Donor 230,Kolkata,0.8,19,False
D00231,Donor 231,Bengaluru,0.85,5,False
D00232,Donor 232,Mumbai,0.73,15,False
D00233,Donor 233,Hyderabad,0.67,16,False
D00234,Donor 234,Delhi,0.51,0,False
D00235,Donor 235,Kolkata,0.61,10,False
D00236,Donor 236,Lucknow,0.69,15,False
D00237,Donor 237,Bengaluru,0.6,9,False
D00238,Donor 238,Bengaluru,0.77,1,False
D00239,Donor 239,Kolkata,0.51,20,False
D00240,Donor 240,Mumbai,0.87,0,False
D00241,Donor 241,Bengaluru,0.79,20,False
D00242,Donor 242,Jaipur,0.85,0,False
D00243,Donor 243,Ahmedabad,0.95,17,False
D00244,Donor 244,Jaipur,0.84,8,False
D00245,Donor 245,Lucknow,0.85,16,False
D00246,Donor 246,Ahmedabad,0.54,17,False
D00247,Donor 247,Lucknow,0.97,6,False
D00248,Donor 248,Delhi,0.63,17,False
D00249,Donor 249,Bengaluru,0.91,9,False
D00250,Donor 250,Bengaluru,0.88,2,False
D00251,Donor 251,Jaipur,0.85,14,True
D00252,Donor 252,Pune,0.62,10,False
D00253,Donor 253,Bengaluru,0.84,0,False
D00254,Donor 254,Delhi,0.77,15,False
D00255,Donor 255,Bengaluru,0.86,18,False
D00256,Donor 256,Lucknow,0.78,5,False
D00257,Donor 257,Lucknow,0.53,5,False
D00258,Donor 258,Delhi,1.0,7,False
D00259,Donor 259,Jaipur,0.72,19,False
D00260,Donor 260,Mumbai,0.51,14,False
D00261,Donor 261,Mumbai,0.94,17,True
D00262,Donor 262,Pune,0.74,14,False
D00263,Donor 263,Kolkata,0.59,8,False
D00264,Donor 264,Lucknow,0.61,20,False
D00265,Donor 265,Bengaluru,0.71,17,False
D00266,Donor 266,Jaipur,0.89,3,False
D00267,Donor 267,Jaipur,0.9,11,False
D00268,Donor 268,Ahmedabad,0.88,8,False
D00269,Donor 269,Mumbai,0.78,7,False
D00270,Donor 270,Chennai,0.63,20,False
D00271,Donor 271,Hyderabad,0.86,15,False
D00272,Donor 272,Lucknow,0.76,15,False
D00273,Donor 273,Jaipur,0.7,9,False
D00274,Donor 274,Delhi,0.7,14,False
D00275,Donor 275,Kolkata,0.95,20,False
D00276,Donor 276,Delhi,0.54,14,False
D00277,Donor 277,Delhi,0.61,8,False
D00278,Donor 278,Hyderabad,0.87,1,False
D00279,Donor 279,Delhi,0.79,11,True
D00280,Donor 280,Mumbai,0.88,12,False
D00281,Donor 281,Hyderabad,0.89,5,False
D00282,Donor 282,Kolkata,0.55,10,False
D00283,Donor 283,Lucknow,0.59,13,False
D00284,Donor 284,Chennai,0.87,9,False
D00285,Donor 285,Jaipur,0.97,15,False
D00286,Donor 286,Chennai,0.53,14,False
D00287,Donor 287,Hyderabad,0.51,9,False
D00288,Donor 288,Mumbai,0.53,2,False
D00289,Donor 289,Jaipur,0.91,16,False
D00290,Donor 290,Bengaluru,0.76,1,False
D00291,Donor 291,Lucknow,0.87,11,False
D00292,Donor 292,Kolkata,0.97,11,False
D00293,Donor 293,Jaipur,0.99,13,False
D00294,Donor 294,Bengaluru,0.86,11,False
D00295,Donor 295,Chennai,0.54,8,False
D00296,Donor 296,Kolkata,0.81,7,False
D00297,Donor 297,Ahmedabad,0.53,2,False
D00298,Donor 298,Pune,0.81,9,False
D00299,Donor 299,Bengaluru,0.6,13,False
D00300,Donor 300,Pune,0.8,19,False
D00301,Donor 301,Bengaluru,0.56,17,False
D00302,Donor 302,Pune,0.62,12,False
D00303,Donor 303,Mumbai,0.57,6,False
D00304,Donor 304,Mumbai,0.55,18,False
D00305,Donor 305,Pune,0.57,4,False
D00306,Donor 306,Mumbai,0.57,10,False
D00307,Donor 307,Delhi,0.89,3,False
D00308,Donor 308,Bengaluru,0.99,12,False
D00309,Donor 309,Hyderabad,0.98,12,False
D00310,Donor 310,Hyderabad,0.79,4,False
D00311,Donor 311,Bengaluru,0.82,9,False
D00312,Donor 312,Bengaluru,0.93,7,False
D00313,Donor 313,Hyderabad,0.7,11,False
D00314,Donor 314,Hyderabad,0.97,0,False
D00315,Donor 315,Jaipur,0.53,17,False
D00316,Donor 316,Hyderabad,0.85,2,False
D00317,Donor 317,Hyderabad,0.91,12,False
D00318,Donor 318,Hyderabad,0.97,13,False
D00319,Donor 319,Kolkata,0.86,7,False
D00320,Donor 320,Hyderabad,0.6,14,False
D00321,Donor 321,Hyderabad,0.53,10,False
D00322,Donor 322,Ahmedabad,0.82,14,False
D00323,Donor 323,Pune,0.56,1,False
D00324,Donor 324,Pune,0.64,7,False
D00325,Donor 325,Ahmedabad,0.63,12,False
D00326,Donor 326,Jaipur,0.83,13,False
D00327,Donor 327,Mumbai,0.68,15,False
D00328,Donor 328,Ahmedabad,0.75,1,False
D00329,Donor 329,Lucknow,0.64,14,False
D00330,Donor 330,Pune,0.54,10,False
D00331,Donor 331,Mumbai,0.52,3,False
D00332,Donor 332,Mumbai,0.92,8,False
D00333,Donor 333,Chennai,0.74,6,False
D00334,Donor 334,Pune,0.51,17,False
D00335,Donor 335,Pune,0.86,11,False
D00336,Donor 336,Mumbai,0.86,1,False
D00337,Donor 337,Kolkata,0.79,1,False
D00338,Donor 338,Bengaluru,0.53,13,False
D00339,Donor 339,Jaipur,0.5,3,False
D00340,Donor 340,Jaipur,0.86,10,False
D00341,Donor 341,Lucknow,0.82,10,False
D00342,Donor 342,Hyderabad,0.96,2,False
D00343,Donor 343,Lucknow,0.94,6,False
D00344,Donor 344,Delhi,0.66,11,False
D00345,Donor 345,Chennai,0.55,2,False
D00346,Donor 346,Hyderabad,0.8,9,False
D00347,Donor 347,Mumbai,0.77,11,False
D00348,Donor 348,Kolkata,0.93,10,False
D00349,Donor 349,Delhi,0.68,18,False
D00350,Donor 350,Mumbai,0.86,9,False
D00351,Donor 351,Chennai,0.99,5,False
D00352,Donor 352,Kolkata,0.69,9,False
D00353,Donor 353,Bengaluru,0.58,13,False
D00354,Donor 354,Bengaluru,0.79,4,False
D00355,Donor 355,Chennai,0.62,6,False
D00356,Donor 356,Ahmedabad,0.86,20,False
D00357,Donor 357,Mumbai,0.83,0,False
D00358,Donor 358,Kolkata,0.88,13,False
D00359,Donor 359,Lucknow,0.67,7,False
D00360,Donor 360,Kolkata,0.61,16,False
D00361,Donor 361,Chennai,0.53,3,False
D00362,Donor 362,Ahmedabad,0.96,18,False
D00363,Donor 363,Ahmedabad,0.76,6,False
D00364,Donor 364,Hyderabad,0.7,14,False
D00365,Donor 365,Jaipur,0.51,14,False
D00366,Donor 366,Hyderabad,0.98,6,False
D00367,Donor 367,Pune,0.78,12,False
D00368,Donor 368,Lucknow,0.75,18,True
D00369,Donor 369,Jaipur,0.84,1,False
D00370,Donor 370,Mumbai,0.65,4,False
D00371,Donor 371,Mumbai,0.64,6,False
D00372,Donor 372,Jaipur,0.83,8,False
D00373,Donor 373,Delhi,0.82,14,False
D00374,Donor 374,Pune,0.76,3,False
D00375,Donor 375,Jaipur,0.95,17,False
D00376,Donor 376,Bengaluru,0.87,3,False
D00377,Donor 377,Delhi,0.61,13,False
D00378,Donor 378,Delhi,0.57,8,False
D00379,Donor 379,Hyderabad,0.81,9,False
D00380,Donor 380,Pune,0.76,12,False
D00381,Donor 381,Delhi,0.93,14,False
D00382,Donor 382,Chennai,0.62,16,False
D00383,Donor 383,Jaipur,0.52,3,False
D00384,Donor 384,Jaipur,0.68,7,False
D00385,Donor 385,Chennai,0.97,9,False
D00386,Donor 386,Bengaluru,0.76,13,False
D00387,Donor 387,Bengaluru,0.91,14,False
D00388,Donor 388,Delhi,0.78,16,True
D00389,Donor 389,Lucknow,0.76,11,False
D00390,Donor 390,Kolkata,0.92,16,False
D00391,Donor 391,Kolkata,0.82,1,False
D00392,Donor 392,Delhi,0.54,9,False
D00393,Donor 393,Bengaluru,0.77,15,False
D00394,Donor 394,Jaipur,0.61,12,False
D00395,Donor 395,Hyderabad,0.71,20,True
D00396,Donor 396,Delhi,0.9,20,False
D00397,Donor 397,Delhi,0.95,3,False
D00398,Donor 398,Hyderabad,0.74,7,False
D00399,Donor 399,Jaipur,0.7,1,False
D00400,Donor 400,Pune,0.95,14,False
D00401,Donor 401,Lucknow,0.69,7,False
D00402,Donor 402,Delhi,0.61,2,False
D00403,Donor 403,Hyderabad,0.71,0,False
D00404,Donor 404,Bengaluru,0.84,5,False
D00405,Donor 405,Pune,0.93,7,False
D00406,Donor 406,Chennai,0.61,19,False
D00407,Donor 407,Kolkata,0.66,19,False
D00408,Donor 408,Ahmedabad,0.95,7,True
D00409,Donor 409,Delhi,0.62,4,False
D00410,Donor 410,Kolkata,0.92,1,False
D00411,Donor 411,Jaipur,0.78,5,False
D00412,Donor 412,Hyderabad,0.94,2,False
D00413,Donor 413,Chennai,0.56,7,False
D00414,Donor 414,Lucknow,0.57,5,False
D00415,Donor 415,Hyderabad,0.71,10,False
D00416,Donor 416,Kolkata,0.9,17,False
D00417,Donor 417,Kolkata,0.86,11,False
D00418,Donor 418,Chennai,0.62,15,False
D00419,Donor 419,Chennai,0.5,14,False
D00420,Donor 420,Chennai,0.98,7,False
D00421,Donor 421,Delhi,0.71,2,False
D00422,Donor 422,Lucknow,0.58,8,False
D00423,Donor 423,Pune,0.8,17,False
D00424,Donor 424,Kolkata,0.83,14,False
D00425,Donor 425,Chennai,0.87,6,False
D00426,Donor 426,Hyderabad,0.74,18,True
D00427,Donor 427,Mumbai,0.6,1,False
D00428,Donor 428,Lucknow,0.79,14,False
D00429,Donor 429,Mumbai,0.61,5,False
D00430,Donor 430,Jaipur,0.71,17,False
D00431,Donor 431,Chennai,0.93,15,False
D00432,Donor 432,Jaipur,0.91,8,False
D00433,Donor 433,Jaipur,0.87,16,False
D00434,Donor 434,Chennai,0.91,12,False
D00435,Donor 435,Pune,0.82,5,False
D00436,Donor 436,Mumbai,0.68,0,False
D00437,Donor 437,Pune,0.71,10,False
D00438,Donor 438,Pune,0.87,3,False
D00439,Donor 439,Ahmedabad,0.86,14,False
D00440,Donor 440,Mumbai,0.8,13,False
D00441,Donor 441,Mumbai,0.8,15,False
D00442,Donor 442,Bengaluru,0.77,17,True
D00443,Donor 443,Hyderabad,0.58,0,False
D00444,Donor 444,Mumbai,0.57,16,False
D00445,Donor 445,Hyderabad,0.68,19,False
D00446,Donor 446,Delhi,0.61,9,False
D00447,Donor 447,Mumbai,0.56,17,False
D00448,Donor 448,Lucknow,0.62,18,False
D00449,Donor 449,Bengaluru,0.9,1,False
D00450,Donor 450,Delhi,0.77,6,False
D00451,Donor 451,Delhi,0.91,6,False
D00452,Donor 452,Ahmedabad,0.54,7,False
D00453,Donor 453,Lucknow,0.93,0,False
D00454,Donor 454,Delhi,0.74,3,False
D00455,Donor 455,Hyderabad,0.55,19,False
D00456,Donor 456,Mumbai,0.86,18,False
D00457,Donor 457,Bengaluru,0.61,20,False
D00458,Donor 458,Mumbai,0.93,2,True
D00459,Donor 459,Lucknow,0.63,7,False
D00460,Donor 460,Pune,0.89,9,False
D00461,Donor 461,Delhi,0.88,4,True
D00462,Donor 462,Ahmedabad,0.95,18,False
D00463,Donor 463,Lucknow,0.61,20,True
D00464,Donor 464,Lucknow,0.65,6,False
D00465,Donor 465,Mumbai,0.91,10,False
D00466,Donor 466,Delhi,0.81,10,False
D00467,Donor 467,Kolkata,0.53,15,False
D00468,Donor 468,Ahmedabad,0.93,2,False
D00469,Donor 469,Ahmedabad,0.83,7,False
D00470,Donor 470,Ahmedabad,0.96,20,False
D00471,Donor 471,Bengaluru,0.73,3,False
D00472,Donor 472,Kolkata,0.7,6,False
D00473,Donor 473,Pune,0.72,13,False
D00474,Donor 474,Hyderabad,0.89,16,False
D00475,Donor 475,Bengaluru,0.71,4,False
D00476,Donor 476,Chennai,0.55,11,False
D00477,Donor 477,Delhi,0.73,14,False
D00478,Donor 478,Kolkata,0.62,10,True
D00479,Donor 479,Chennai,0.84,17,False
D00480,Donor 480,Kolkata,0.51,8,True
D00481,Donor 481,Bengaluru,0.77,5,False
D00482,Donor 482,Ahmedabad,0.83,11,False
D00483,Donor 483,Pune,0.85,10,False
D00484,Donor 484,Chennai,0.62,19,False
D00485,Donor 485,Mumbai,0.65,19,False
D00486,Donor 486,Pune,0.92,12,False
D00487,Donor 487,Lucknow,0.52,16,False
D00488,Donor 488,Chennai,0.68,18,False
D00489,Donor 489,Ahmedabad,0.96,6,True
D00490,Donor 490,Pune,0.93,16,False
D00491,Donor 491,Pune,0.59,2,False
D00492,Donor 492,Kolkata,0.59,7,False
D00493,Donor 493,Lucknow,0.78,17,False
D00494,Donor 494,Pune,0.57,11,False
D00495,Donor 495,Hyderabad,0.58,19,False
D00496,Donor 496,Hyderabad,0.68,18,False
D00497,Donor 497,Kolkata,0.87,20,False
D00498,Donor 498,Ahmedabad,0.9,8,False
D00499,Donor 499,Jaipur,0.5,5,False
D00500,Donor 500,Ahmedabad,0.72,20,False
