donation_id,donor_id,category,condition,quantity,city,timestamp,matched_ngo,status
DN000051,D00416,casual,good,11,Kolkata,2024-12-30,NGO0036,delivered
DN000052,D00053,casual,excellent,10,Mumbai,2025-05-25,NGO0051,delivered
DN000053,D00445,children,excellent,4,Hyderabad,2025-02-20,NGO0027,matched
DN000054,D00316,accessories,excellent,9,Hyderabad,2024-11-26,NGO0067,approved
DN000055,D00475,accessories,good,13,Bengaluru,2024-12-23,NGO0069,approved
DN000056,D00350,children,fair,13,Mumbai,2025-04-01,NGO0039,approved
DN000057,D00376,shoes,good,18,Bengaluru,2025-05-24,NGO0059,pending
DN000058,D00168,formal,good,14,Hyderabad,2024-11-25,,delivered
DN000059,D00224,outerwear,fair,7,Pune,2025-10-25,NGO0050,pending
DN000060,D00327,children,good,2,Mumbai,2025-07-15,NGO0021,approved
DN000061,D00247,outerwear,good,14,Lucknow,2025-05-07,,delivered
DN000062,D00353,accessories,excellent,2,Bengaluru,2025-03-01,NGO0061,matched
DN000063,D00108,accessories,excellent,5,Pune,2025-08-04,,matched
DN000064,D00084,shoes,excellent,17,Chennai,2025-03-26,NGO0045,pending
DN000065,D00398,shoes,good,13,Hyderabad,2025-10-13,NGO0075,pending
DN000066,D00312,children,excellent,12,Bengaluru,2025-05-27,,approved
DN000067,D00385,accessories,fair,11,Chennai,2025-06-23,NGO0043,approved
DN000068,D00005,shoes,good,4,Jaipur,2024-12-14,NGO0084,matched
DN000069,D00297,shoes,excellent,8,Ahmedabad,2025-09-07,,delivered
DN000070,D00445,shoes,fair,11,Hyderabad,2025-05-17,,approved
DN000071,D00339,outerwear,fair,7,Jaipur,2025-07-17,,pending
DN000072,D00279,casual,excellent,14,Delhi,2025-07-25,NGO0020,approved
DN000073,D00406,formal,excellent,7,Chennai,2024-12-12,,delivered
DN000074,D00343,formal,good,10,Lucknow,2025-02-10,,delivered
DN000075,D00247,children,fair,15,Lucknow,2024-12-01,,matched
DN000076,D00290,outerwear,fair,19,Bengaluru,2025-02-03,NGO0038,matched
DN000077,D00139,children,good,6,Chennai,2025-04-11,,delivered
DN000078,D00238,formal,fair,13,Bengaluru,2025-03-17,NGO0037,delivered
DN000079,D00023,casual,fair,15,Jaipur,2025-01-15,,pending
DN000080,D00361,outerwear,good,12,Chennai,2025-03-28,NGO0007,pending
DN000081,D00187,formal,excellent,2,Ahmedabad,2025-10-01,NGO0046,delivered
DN000082,D00363,children,fair,1,Ahmedabad,2025-04-23,NGO0001,approved
DN000083,D00166,accessories,excellent,1,Delhi,2025-03-07,NGO0071,pending
DN000084,D00159,formal,excellent,16,Jaipur,2025-04-10,,matched
DN000085,D00335,outerwear,fair,10,Pune,2025-05-11,,approved
DN000086,D00444,shoes,good,8,Mumbai,2025-04-20,,matched
DN000087,D00338,formal,fair,17,Bengaluru,2025-09-11,NGO0035,pending
DN000088,D00054,children,good,8,Bengaluru,2025-02-28,NGO0054,approved
DN000089,D00314,formal,excellent,12,Hyderabad,2024-12-22,NGO0066,delivered
DN000090,D00232,formal,excellent,6,Mumbai,2025-01-02,,pending
DN000091,D00183,casual,fair,11,Ahmedabad,2025-09-15,NGO0025,delivered
DN000092,D00077,accessories,good,6,Ahmedabad,2025-10-04,NGO0060,matched
DN000093,D00127,shoes,good,9,Pune,2025-10-20,,pending
DN000094,D00018,accessories,fair,3,Jaipur,2025-09-27,,matched
DN000095,D00337,casual,good,6,Kolkata,2025-08-05,NGO0006,delivered
DN000096,D00281,accessories,good,5,Hyderabad,2025-05-07,NGO0013,delivered
DN000097,D00297,casual,excellent,6,Ahmedabad,2025-10-08,NGO0069,approved
DN000098,D00083,children,good,20,Delhi,2025-08-31,NGO0012,delivered
DN000099,D00146,children,good,16,Hyderabad,2025-03-20,NGO0037,approved
DN000100,D00363,children,excellent,13,Ahmedabad,2025-06-18,NGO0021,approved
DN000101,D00184,accessories,good,12,Ahmedabad,2025-06-23,NGO0027,delivered
DN000102,D00346,accessories,fair,2,Hyderabad,2025-08-07,NGO0001,delivered
DN000103,D00233,outerwear,excellent,7,Hyderabad,2025-03-10,NGO0014,approved
DN000104,D00084,casual,good,9,Chennai,2025-03-12,NGO0030,approved
DN000105,D00390,accessories,fair,19,Kolkata,2025-08-16,,delivered
DN000106,D00408,outerwear,excellent,4,Ahmedabad,2025-04-23,NGO0080,approved
DN000107,D00190,accessories,good,2,Chennai,2025-05-30,,delivered
DN000108,D00312,shoes,fair,17,Bengaluru,2025-05-23,NGO0094,approved
DN000109,D00485,accessories,fair,12,Mumbai,2025-02-28,NGO0019,delivered
DN000110,D00274,accessories,excellent,6,Delhi,2025-02-27,NGO0013,pending
DN000111,D00224,accessories,excellent,7,Pune,2025-10-26,NGO0085,pending
DN000112,D00046,casual,fair,16,Pune,2025-10-23,NGO0079,pending
DN000113,D00235,outerwear,fair,7,Kolkata,2025-06-08,NGO0082,approved
DN000114,D00245,outerwear,fair,14,Lucknow,2024-12-23,,matched
DN000115,D00445,children,excellent,12,Hyderabad,2025-01-27,NGO0050,pending
DN000116,D00005,shoes,excellent,9,Jaipur,2024-12-04,,delivered
DN000117,D00433,children,excellent,1,Jaipur,2025-10-05,,delivered
DN000118,D00494,shoes,good,18,Pune,2025-08-08,,delivered
DN000119,D00348,outerwear,fair,12,Kolkata,2025-04-23,NGO0018,pending
DN000120,D00018,accessories,fair,13,Jaipur,2025-11-09,NGO0099,delivered
DN000121,D00018,formal,fair,18,Jaipur,2025-05-17,,delivered
DN000122,D00345,outerwear,fair,16,Chennai,2024-12-10,NGO0021,delivered
DN000123,D00032,shoes,fair,3,Bengaluru,2025-08-06,,matched
DN000124,D00465,accessories,good,6,Mumbai,2025-08-28,,approved
DN000125,D00484,children,excellent,4,Chennai,2024-11-29,NGO0015,matched
DN000126,D00099,shoes,excellent,12,Hyderabad,2024-11-29,,pending
DN000127,D00448,shoes,excellent,11,Lucknow,2025-10-19,,delivered
DN000128,D00132,casual,excellent,1,Chennai,2025-02-22,NGO0092,pending
DN000129,D00461,children,good,12,Delhi,2025-07-23,NGO0075,pending
DN000130,D00113,children,good,4,Mumbai,2025-07-15,,pending
DN000131,D00056,outerwear,good,10,Delhi,2025-01-24,NGO0021,pending
DN000132,D00336,outerwear,good,12,Mumbai,2025-01-16,,matched
DN000133,D00049,accessories,good,15,Chennai,2025-10-06,NGO0087,matched
DN000134,D00496,shoes,good,19,Hyderabad,2025-07-03,,matched
DN000135,D00006,outerwear,excellent,7,Bengaluru,2025-06-09,,matched
DN000136,D00376,shoes,fair,18,Bengaluru,2025-04-06,,pending
DN000137,D00089,accessories,good,14,Chennai,2025-07-13,NGO0084,delivered
DN000138,D00468,shoes,fair,2,Ahmedabad,2024-12-19,NGO0051,pending
DN000139,D00398,outerwear,excellent,2,Hyderabad,2025-08-26,,delivered
DN000140,D00180,shoes,excellent,14,Hyderabad,2025-06-24,NGO0081,pending
DN000141,D00192,accessories,excellent,7,Jaipur,2025-01-20,,approved
DN000142,D00182,shoes,good,13,Ahmedabad,2025-10-16,,pending
DN000143,D00336,formal,fair,5,Mumbai,2025-08-25,NGO0066,pending
DN000144,D00056,formal,good,20,Delhi,2025-02-13,,pending
DN000145,D00414,outerwear,excellent,15,Lucknow,2025-05-31,,pending
DN000146,D00214,children,fair,13,Lucknow,2025-07-05,NGO0040,matched
DN000147,D00146,children,excellent,9,Hyderabad,2025-05-19,,delivered
DN000148,D00395,outerwear,good,13,Hyderabad,2025-06-15,NGO0034,delivered
DN000149,D00199,formal,fair,15,Ahmedabad,2025-04-14,,approved
DN000150,D00088,formal,fair,12,Delhi,2025-01-03,NGO0055,pending
DN000151,D00493,casual,excellent,2,Lucknow,2025-10-10,NGO0007,matched
DN000152,D00020,shoes,fair,5,Chennai,2025-09-14,NGO0007,delivered
DN000153,D00235,casual,fair,17,Kolkata,2025-09-30,,matched
DN000154,D00383,children,good,18,Jaipur,2025-06-23,NGO0098,matched
DN000155,D00064,shoes,good,18,Pune,2025-06-07,,pending
DN000156,D00472,children,excellent,13,Kolkata,2025-07-16,NGO0010,approved
DN000157,D00192,accessories,excellent,8,Jaipur,2025-09-07,NGO0008,matched
DN000158,D00392,shoes,good,1,Delhi,2025-08-14,,matched
DN000159,D00350,casual,excellent,17,Mumbai,2025-03-10,NGO0056,approved
DN000160,D00499,casual,excellent,9,Jaipur,2024-11-16,,delivered
DN000161,D00181,accessories,excellent,10,Jaipur,2025-10-31,NGO0012,delivered
DN000162,D00034,outerwear,excellent,11,Jaipur,2024-12-20,NGO0014,delivered
DN000163,D00225,casual,fair,9,Jaipur,2025-09-14,NGO0077,matched
DN000164,D00183,outerwear,fair,11,Ahmedabad,2025-10-11,NGO0046,matched
DN000165,D00282,shoes,good,2,Kolkata,2025-06-17,NGO0038,delivered
DN000166,D00344,formal,good,7,Delhi,2025-08-26,,pending
DN000167,D00374,casual,good,16,Pune,2025-04-08,,delivered
DN000168,D00032,children,fair,14,Bengaluru,2025-09-15,NGO0011,approved
DN000169,D00414,shoes,fair,6,Lucknow,2025-09-16,NGO0077,pending
DN000170,D00143,casual,good,7,Mumbai,2025-04-24,,delivered
DN000171,D00254,accessories,excellent,5,Delhi,2025-07-12,,delivered
DN000172,D00399,accessories,excellent,14,Jaipur,2025-06-13,NGO0025,approved
DN000173,D00418,accessories,fair,19,Chennai,2025-05-08,NGO0040,delivered
DN000174,D00190,shoes,fair,5,Chennai,2025-09-10,,approved
DN000175,D00470,outerwear,excellent,13,Ahmedabad,2025-04-14,,approved
DN000176,D00137,outerwear,fair,6,Bengaluru,2025-06-01,NGO0099,pending
DN000177,D00458,children,excellent,7,Mumbai,2025-10-19,NGO0026,matched
DN000178,D00176,shoes,good,8,Lucknow,2025-10-26,NGO0077,approved
DN000179,D00019,children,excellent,12,Chennai,2025-06-19,NGO0027,matched
DN000180,D00041,children,good,16,Ahmedabad,2024-12-02,NGO0022,delivered
DN000181,D00500,children,fair,6,Ahmedabad,2025-02-21,,pending
DN000182,D00423,outerwear,fair,12,Pune,2025-05-20,,delivered
DN000183,D00113,children,fair,14,Mumbai,2025-07-22,,matched
DN000184,D00474,casual,excellent,3,Hyderabad,2025-01-06,,delivered
DN000185,D00483,shoes,excellent,8,Pune,2025-09-13,NGO0033,pending
DN000186,D00455,shoes,excellent,6,Hyderabad,2025-02-04,NGO0051,pending
DN000187,D00040,outerwear,good,2,Bengaluru,2025-06-14,NGO0054,matched
DN000188,D00193,shoes,excellent,1,Delhi,2024-11-15,NGO0019,approved
DN000189,D00264,shoes,fair,2,Lucknow,2025-09-16,NGO0096,delivered
DN000190,D00223,casual,fair,14,Chennai,2024-12-15,,pending
DN000191,D00150,outerwear,excellent,7,Bengaluru,2025-01-17,,matched
DN000192,D00047,shoes,fair,6,Kolkata,2024-12-22,NGO0078,delivered
DN000193,D00391,formal,excellent,6,Kolkata,2025-04-24,,delivered
DN000194,D00433,outerwear,excellent,19,Jaipur,2024-12-04,,delivered
DN000195,D00135,children,excellent,4,Chennai,2024-12-28,NGO0075,approved
DN000196,D00048,shoes,good,16,Jaipur,2025-08-23,NGO0036,matched
DN000197,D00163,accessories,excellent,11,Delhi,2025-08-27,,approved
DN000198,D00474,formal,excellent,14,Hyderabad,2025-06-03,NGO0004,matched
DN000199,D00033,outerwear,good,17,Bengaluru,2025-05-27,NGO0063,pending
DN000200,D00021,outerwear,fair,14,Jaipur,2025-02-25,NGO0054,pending
DN000201,D00440,outerwear,excellent,5,Mumbai,2025-01-27,,delivered
DN000202,D00430,formal,good,3,Jaipur,2025-03-24,NGO0001,delivered
DN000203,D00378,casual,fair,2,Delhi,2025-09-26,,pending
DN000204,D00414,shoes,fair,17,Lucknow,2025-02-23,,approved
DN000205,D00425,accessories,excellent,1,Chennai,2025-08-11,NGO0064,approved
DN000206,D00351,children,good,15,Chennai,2025-05-10,,delivered
DN000207,D00384,outerwear,fair,9,Jaipur,2025-02-06,NGO0035,approved
DN000208,D00091,children,fair,1,Jaipur,2025-03-05,NGO0061,pending
DN000209,D00481,children,fair,17,Bengaluru,2025-02-08,NGO0092,pending
DN000210,D00090,outerwear,excellent,17,Hyderabad,2025-03-26,NGO0084,approved
DN000211,D00200,formal,good,9,Mumbai,2025-09-04,NGO0021,delivered
DN000212,D00122,casual,excellent,10,Ahmedabad,2025-03-21,,pending
DN000213,D00480,children,excellent,15,Kolkata,2025-10-29,,matched
DN000214,D00417,outerwear,excellent,19,Kolkata,2025-08-11,NGO0007,pending
DN000215,D00373,formal,excellent,18,Delhi,2025-03-10,NGO0006,pending
DN000216,D00228,outerwear,fair,3,Mumbai,2025-03-23,NGO0088,delivered
DN000217,D00486,outerwear,good,12,Pune,2025-03-21,NGO0010,approved
DN000218,D00451,formal,excellent,18,Delhi,2025-05-21,NGO0075,matched
DN000219,D00120,accessories,good,3,Ahmedabad,2025-02-09,,delivered
DN000220,D00117,outerwear,good,12,Pune,2025-06-28,,delivered
DN000221,D00245,accessories,excellent,8,Lucknow,2025-03-23,NGO0074,approved
DN000222,D00273,outerwear,fair,2,Jaipur,2025-06-26,,pending
DN000223,D00444,shoes,fair,8,Mumbai,2025-04-10,,matched
DN000224,D00243,formal,good,19,Ahmedabad,2024-12-31,,approved
DN000225,D00087,outerwear,good,6,Ahmedabad,2025-05-01,NGO0013,matched
DN000226,D00416,children,fair,2,Kolkata,2025-02-02,NGO0034,approved
DN000227,D00085,outerwear,good,16,Pune,2025-01-28,,matched
DN000228,D00308,shoes,fair,17,Bengaluru,2025-09-29,NGO0057,pending
DN000229,D00313,outerwear,excellent,7,Hyderabad,2025-04-21,,pending
DN000230,D00030,casual,good,2,Chennai,2025-05-13,NGO0075,approved
DN000231,D00497,casual,good,2,Kolkata,2025-03-25,,matched
DN000232,D00009,shoes,excellent,13,Mumbai,2025-05-02,NGO0001,delivered
DN000233,D00441,children,good,2,Mumbai,2025-07-25,NGO0043,pending
DN000234,D00155,formal,good,18,Chennai,2024-12-31,,matched
DN000235,D00051,formal,fair,14,Lucknow,2025-02-04,,approved
DN000236,D00278,shoes,excellent,11,Hyderabad,2025-01-29,NGO0026,matched
DN000237,D00136,formal,fair,15,Delhi,2025-10-08,NGO0013,pending
DN000238,D00180,accessories,good,5,Hyderabad,2025-07-19,,pending
DN000239,D00295,outerwear,good,18,Chennai,2025-02-16,NGO0012,pending
DN000240,D00295,children,good,13,Chennai,2025-07-29,NGO0072,approved
DN000241,D00098,shoes,good,16,Mumbai,2024-12-10,NGO0049,pending
DN000242,D00405,casual,excellent,10,Pune,2024-11-13,NGO0029,approved
DN000243,D00499,children,good,20,Jaipur,2024-12-22,NGO0080,approved
DN000244,D00271,children,excellent,7,Hyderabad,2025-01-08,NGO0058,approved
DN000245,D00223,formal,excellent,1,Chennai,2025-10-07,NGO0046,delivered
DN000246,D00264,shoes,good,17,Lucknow,2024-12-06,,delivered
DN000247,D00285,children,excellent,18,Jaipur,2024-12-25,NGO0011,matched
DN000248,D00331,shoes,excellent,4,Mumbai,2025-03-17,NGO0071,pending
DN000249,D00422,casual,excellent,14,Lucknow,2025-11-02,,pending
DN000250,D00163,shoes,excellent,13,Delhi,2025-07-23,NGO0039,approved
DN000251,D00484,shoes,fair,11,Chennai,2025-07-05,,pending
DN000252,D00086,shoes,fair,17,Bengaluru,2025-08-09,,approved
DN000253,D00243,casual,excellent,16,Ahmedabad,2025-01-06,,pending
DN000254,D00460,outerwear,good,11,Pune,2024-11-25,NGO0070,approved
DN000255,D00477,accessories,excellent,1,Delhi,2025-01-27,NGO0073,matched
DN000256,D00319,formal,good,10,Kolkata,2025-10-17,NGO0007,pending
DN000257,D00456,casual,good,7,Mumbai,2025-10-07,NGO0007,pending
DN000258,D00126,casual,good,10,Lucknow,2025-05-09,NGO0084,pending
DN000259,D00325,accessories,fair,11,Ahmedabad,2025-05-20,,pending
DN000260,D00258,children,good,17,Delhi,2024-12-03,NGO0073,matched
DN000261,D00052,accessories,good,12,Bengaluru,2025-04-14,NGO0013,approved
DN000262,D00203,casual,good,10,Bengaluru,2025-08-06,,matched
DN000263,D00080,outerwear,excellent,1,Delhi,2025-07-02,NGO0061,matched
DN000264,D00209,children,excellent,8,Bengaluru,2025-03-19,NGO0094,matched
DN000265,D00442,children,fair,9,Bengaluru,2025-10-25,NGO0028,matched
DN000266,D00018,children,fair,8,Jaipur,2025-09-21,,pending
DN000267,D00390,children,fair,18,Kolkata,2025-02-09,NGO0002,pending
DN000268,D00309,casual,good,11,Hyderabad,2025-03-04,,approved
DN000269,D00445,children,fair,10,Hyderabad,2025-03-05,NGO0095,delivered
DN000270,D00041,shoes,excellent,20,Ahmedabad,2025-06-24,NGO0014,pending
DN000271,D00459,shoes,good,12,Lucknow,2025-06-24,,pending
DN000272,D00470,children,fair,1,Ahmedabad,2025-05-07,,matched
DN000273,D00286,shoes,good,2,Chennai,2025-08-15,,approved
DN000274,D00348,accessories,fair,17,Kolkata,2025-05-15,,pending
DN000275,D00397,children,fair,18,Delhi,2025-02-05,NGO0039,pending
DN000276,D00353,children,good,6,Bengaluru,2025-04-08,NGO0014,pending
DN000277,D00410,shoes,excellent,9,Kolkata,2025-06-08,NGO0031,delivered
DN000278,D00207,outerwear,fair,10,Bengaluru,2025-01-06,NGO0032,approved
DN000279,D00337,outerwear,good,11,Kolkata,2025-02-12,,delivered
DN000280,D00170,shoes,good,16,Hyderabad,2025-05-15,,pending
DN000281,D00460,outerwear,excellent,6,Pune,2025-05-29,NGO0089,delivered
DN000282,D00423,outerwear,good,6,Pune,2025-02-03,NGO0046,delivered
DN000283,D00197,accessories,excellent,5,Chennai,2024-12-10,,matched
DN000284,D00064,formal,fair,1,Pune,2024-11-21,NGO0050,approved
DN000285,D00457,outerwear,good,15,Bengaluru,2025-08-10,NGO0064,approved
DN000286,D00050,accessories,excellent,20,Chennai,2025-02-13,,delivered
DN000287,D00154,casual,fair,2,Chennai,2024-12-27,NGO0008,pending
DN000288,D00063,accessories,good,7,Lucknow,2025-02-07,NGO0042,delivered
DN000289,D00256,children,fair,18,Lucknow,2025-08-26,NGO0083,matched
DN000290,D00326,children,excellent,18,Jaipur,2025-10-14,,pending
DN000291,D00420,casual,good,16,Chennai,2025-04-18,NGO0058,matched
DN000292,D00292,accessories,fair,11,Kolkata,2025-08-07,NGO0082,pending
DN000293,D00234,outerwear,fair,5,Delhi,2025-05-29,NGO0096,matched
DN000294,D00318,outerwear,good,19,Hyderabad,2024-11-27,NGO0078,approved
DN000295,D00246,shoes,excellent,10,Ahmedabad,2025-04-30,,approved
DN000296,D00198,outerwear,fair,17,Lucknow,2025-01-11,NGO0039,approved
DN000297,D00378,outerwear,excellent,12,Delhi,2025-03-24,,approved
DN000298,D00329,shoes,fair,18,Lucknow,2025-04-18,,pending
DN000299,D00132,shoes,excellent,9,Chennai,2025-07-12,NGO0006,approved
DN000300,D00416,children,excellent,8,Kolkata,2025-04-28,NGO0039,pending
DN000301,D00124,casual,fair,1,Mumbai,2025-10-20,NGO0009,delivered
DN000302,D00292,outerwear,excellent,19,Kolkata,2025-04-10,,matched
DN000303,D00053,formal,fair,16,Mumbai,2025-01-19,NGO0028,delivered
DN000304,D00092,outerwear,good,10,Mumbai,2025-03-14,,matched
DN000305,D00186,casual,good,20,Lucknow,2025-02-07,NGO0093,delivered
DN000306,D00071,children,good,9,Delhi,2025-04-12,NGO0090,pending
DN000307,D00274,shoes,excellent,5,Delhi,2025-02-03,,approved
DN000308,D00398,casual,excellent,15,Hyderabad,2025-06-28,NGO0096,delivered
DN000309,D00311,casual,good,3,Bengaluru,2025-09-24,NGO0052,approved
DN000310,D00485,accessories,excellent,20,Mumbai,2025-08-21,NGO0074,delivered
DN000311,D00109,formal,fair,10,Bengaluru,2025-01-30,,approved
DN000312,D00255,casual,fair,11,Bengaluru,2025-04-01,,approved
DN000313,D00279,casual,good,16,Delhi,2024-11-12,NGO0079,matched
DN000314,D00020,shoes,good,19,Chennai,2025-07-18,NGO0098,pending
DN000315,D00092,children,excellent,3,Mumbai,2025-03-16,NGO0072,delivered
DN000316,D00380,outerwear,excellent,10,Pune,2025-05-20,NGO0073,pending
DN000317,D00049,formal,excellent,8,Chennai,2025-09-07,NGO0046,delivered
DN000318,D00488,shoes,good,20,Chennai,2025-05-17,NGO0095,matched
DN000319,D00079,accessories,excellent,8,Lucknow,2025-10-21,NGO0025,pending
DN000320,D00209,accessories,good,4,Bengaluru,2025-06-17,,pending
DN000321,D00362,formal,fair,8,Ahmedabad,2024-11-21,NGO0002,matched
DN000322,D00110,casual,fair,18,Pune,2025-03-17,NGO0035,matched
DN000323,D00248,casual,fair,2,Delhi,2025-10-02,NGO0018,pending
DN000324,D00038,formal,excellent,20,Pune,2025-04-04,NGO0078,pending
DN000325,D00112,formal,fair,4,Chennai,2025-07-08,NGO0081,delivered
DN000326,D00031,children,excellent,6,Mumbai,2025-10-20,NGO0052,matched
DN000327,D00070,outerwear,excellent,3,Delhi,2024-12-11,NGO0069,matched
DN000328,D00376,outerwear,good,1,Bengaluru,2025-01-01,,approved
DN000329,D00347,outerwear,fair,16,Mumbai,2024-12-08,NGO0015,delivered
DN000330,D00269,shoes,fair,6,Mumbai,2025-05-10,,matched
DN000331,D00373,outerwear,excellent,9,Delhi,2025-07-05,NGO0018,approved
DN000332,D00159,shoes,good,10,Jaipur,2024-11-17,NGO0059,matched
DN000333,D00154,shoes,fair,10,Chennai,2025-02-20,,matched
DN000334,D00434,outerwear,good,17,Chennai,2024-11-20,,pending
DN000335,D00104,formal,good,10,Delhi,2025-01-07,NGO0021,approved
DN000336,D00109,children,good,14,Bengaluru,2025-01-20,,approved
DN000337,D00093,outerwear,fair,9,Hyderabad,2024-11-15,,approved
DN000338,D00212,casual,excellent,5,Pune,2025-06-08,,pending
DN000339,D00488,children,good,10,Chennai,2025-02-11,NGO0047,approved
DN000340,D00040,accessories,fair,6,Bengaluru,2025-01-22,NGO0070,delivered
DN000341,D00431,children,excellent,13,Chennai,2025-02-25,NGO0005,pending
DN000342,D00091,accessories,fair,18,Jaipur,2025-03-01,,delivered
DN000343,D00110,shoes,good,10,Pune,2025-05-05,NGO0082,approved
DN000344,D00491,casual,fair,1,Pune,2025-09-19,,delivered
DN000345,D00239,shoes,fair,6,Kolkata,2025-08-08,,approved
DN000346,D00315,children,excellent,13,Jaipur,2025-05-08,,approved
DN000347,D00066,casual,good,12,Chennai,2024-12-23,NGO0042,pending
DN000348,D00046,accessories,fair,1,Pune,2025-03-15,NGO0007,approved
DN000349,D00392,accessories,good,12,Delhi,2025-01-23,,pending
DN000350,D00429,formal,good,14,Mumbai,2025-10-15,NGO0023,approved
DN000351,D00234,outerwear,good,17,Delhi,2025-07-17,NGO0017,pending
DN000352,D00120,formal,excellent,20,Ahmedabad,2025-05-04,,matched
DN000353,D00214,formal,excellent,5,Lucknow,2025-06-04,NGO0083,delivered
DN000354,D00118,children,excellent,16,Bengaluru,2025-07-20,,pending
DN000355,D00006,casual,excellent,9,Bengaluru,2025-01-07,NGO0037,matched
DN000356,D00091,children,good,3,Jaipur,2025-06-26,NGO0088,pending
DN000357,D00479,casual,fair,9,Chennai,2025-07-25,NGO0076,matched
DN000358,D00029,outerwear,good,18,Ahmedabad,2025-03-27,NGO0033,approved
DN000359,D00361,casual,excellent,19,Chennai,2025-04-07,NGO0057,matched
DN000360,D00008,formal,excellent,1,Jaipur,2025-01-20,NGO0064,pending
DN000361,D00067,casual,good,5,Ahmedabad,2025-08-04,NGO0019,matched
DN000362,D00362,outerwear,good,10,Ahmedabad,2025-02-18,NGO0023,delivered
DN000363,D00209,accessories,good,9,Bengaluru,2025-07-05,NGO0093,delivered
DN000364,D00109,casual,fair,14,Bengaluru,2025-02-18,,pending
DN000365,D00017,shoes,good,4,Hyderabad,2025-09-26,NGO0049,pending
DN000366,D00019,outerwear,good,20,Chennai,2025-05-22,NGO0098,pending
